Memory initialized!
CPU initialized
AFTER (0x0389) Opcode: 0xEA | A:0x03 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
BEFORE (0x038C) Opcode: 0xF1 | A:0x03 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF7 | Z:0 N:0 H:0 C:0
AFTER (0x038C) Opcode: 0xF1 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF9 | Z:0 N:0 H:0 C:0
BEFORE (0x038D) Opcode: 0xC9 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFF9 | Z:0 N:0 H:0 C:0
AFTER (0x038D) Opcode: 0xC9 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x0392) Opcode: 0x18 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x0392) Opcode: 0x18 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x0396) Opcode: 0xE1 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x03 L:0x95 | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x0396) Opcode: 0xE1 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
BEFORE (0x0397) Opcode: 0xCD | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
AFTER (0x0397) Opcode: 0xCD | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x025D) Opcode: 0x18 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x025D) Opcode: 0x18 | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x025F) Opcode: 0x3E | A:0xC3 B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x025F) Opcode: 0x3E | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x0261) Opcode: 0xE0 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x0261) Opcode: 0xE0 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x0263) Opcode: 0xE0 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x0263) Opcode: 0xE0 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x0265) Opcode: 0xE0 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x0265) Opcode: 0xE0 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x0267) Opcode: 0xE0 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x0267) Opcode: 0xE0 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x0269) Opcode: 0xC9 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
AFTER (0x0269) Opcode: 0xC9 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
BEFORE (0x039A) Opcode: 0xC9 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
AFTER (0x039A) Opcode: 0xC9 | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFF | Z:0 N:0 H:0 C:0
BEFORE (0x045C) Opcode: 0xCD | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFF | Z:0 N:0 H:0 C:0
AFTER (0x045C) Opcode: 0xCD | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
BEFORE (0x0B79) Opcode: 0xCD | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFD | Z:0 N:0 H:0 C:0
AFTER (0x0B79) Opcode: 0xCD | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
BEFORE (0x074B) Opcode: 0xCD | A:0xFF B:0x00 C:0x00 D:0x00 E:0x00 H:0x0B L:0x8F | SP:0xDFFB | Z:0 N:0 H:0 C:0
